ID;Title;Content;Excerpt;Date;"Post Type";Permalink;"Image URL";"Image Title";"Image Caption";"Image Description";"Image Alt Text";"Image Featured";"Attachment URL";_wp_page_template;raiting;cat;phone;email;country;state;city;sub;adress;site;_aioseop_opengraph_settings;_wp_desired_post_slug;Status;"Author ID";"Author Username";"Author Email";"Author First Name";"Author Last Name";Slug;Format;Template;Parent;"Parent Slug";Order;"Comment Status";"Ping Status";"Post Modified Date";"banner picture";"Banner heading";"description banner";"Top FAQ title";"Top FAQ list";"Plenty jobs header";"Plenty jobs text";"Text left side";"Sign up header";"Sign up text";"Text right side - header";"Text right side - about deals and so on";"Sign up bottom header";"Sign up bottom text";"Plenty jobs header";"Plenty jobs text";"Text left side";"First image";"Second image";"Sign up header";"Sign up text";"Text right side - header";"Text right side - about deals and so on";"Sign up bottom header";"Sign up bottom text";"company in country";"Special header - blue (first-header before text)";"Header - about email block";"Text - about email block";"Header - about social network block";"Text - about social network block";"Header - about posters block";"Text - about posters block";"Category 1 in blog";"Category 2 in blog";"Category 3 in blog";"Category 4 in blog";"Tip1 - Non Pro User";"Tip2 - Keep at the top";"Tip3 - Highlight the project";"Tip4 - Mark as Urgent";"Tip5 - Mark as Hidden";"About rating";"About payment code";"Rating score";"Rating stars number";"Plenty jobs header";"Plenty jobs text";"Text left side";"First image";"Second image";"Sign up header";"Sign up text";"Text right side - header";"Text right side - about deals and so on";"Sign up bottom header";"Sign up bottom text";"Plenty jobs header";"Plenty jobs text";"Text left side";"First image";"Second image";"Sign up header";"Sign up text";"Text right side - header";"Text right side - about deals and so on";"Sign up bottom header";"Sign up bottom text";"Текст для профессионалов";"Show on home?";"Show on profile page?";Icon;"Country in which search profiles";"Baner title";"Baner image";"Baner text"
14180;"Complete Carpentry";;;"2021-03-31 18:44:17";company;https://www.masterhand.pro/company/complete-carpentry/;;;;;;;;default;3.9;9970;"+1 425-644-6427";prodq@masterhand.pro;1;11;14;10110;"88 Ghazar Parpetsi St; Kondoz;Afganistan";http://www.berkeysupply.com/;a:0:{};"Complete Carpentry";publish;4;admin_alex;am7667@gmail.com;;;complete-carpentry;;default;0;0;0;open;open;"2021-03-31 18:44:17";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14181;"Heights Carpenters Shop Inc";;;"2021-03-31 18:44:17";company;https://www.masterhand.pro/company/heights-carpenters-shop-inc/;;;;;;;;default;4.2;9970;"+1 206-842-8959";prodd@masterhand.pro;1;11;14;10110;"4 Gyulbenkyan St; Lashkar Gah; Helmand; Afganistan";http://hollylanegardens.com/;a:0:{};"Heights Carpenters Shop Inc";publish;4;admin_alex;am7667@gmail.com;;;heights-carpenters-shop-inc;;default;0;0;0;open;open;"2021-03-31 18:44:17";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14182;"The Carpenters Touch";;;"2021-03-31 18:44:17";company;https://www.masterhand.pro/company/the-carpenters-touch/;;;;;;;;default;4.9;9970;"+1 206-729-0399";prok@masterhand.pro;1;11;14;10110;"18 Ghazar Parpetsi St; Lashkar Gah; Helmand; Afganistan";http://www.tccbgg.com/;a:0:{};"The Carpenters Touch";publish;4;admin_alex;am7667@gmail.com;;;the-carpenters-touch;;default;0;0;0;open;open;"2021-03-31 18:44:17";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14183;"Karen Carpenter";;;"2021-03-31 18:44:17";company;https://www.masterhand.pro/company/karen-carpenter/;;;;;;;;default;5;9970;"+1 206-543-0415";prox@masterhand.pro;1;11;14;10110;"32 Marshal Baghramyan Ave; Lashkar Gah; Helmand; Afganistan";https://depts.washington.edu/hortlib;a:0:{};"Karen Carpenter";publish;4;admin_alex;am7667@gmail.com;;;karen-carpenter;;default;0;0;0;open;open;"2021-03-31 18:44:17";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14184;"Burns Brothers";;;"2021-03-31 18:44:17";company;https://www.masterhand.pro/company/burns-brothers/;;;;;;;;default;5;9970;"+1 206-226-3590";projj@masterhand.pro;1;11;14;10110;"36 Amiryan St; Kondoz; Afganistan";http://blueberryseniorcare.com/;a:0:{};"Burns Brothers";publish;4;admin_alex;am7667@gmail.com;;;burns-brothers;;default;0;0;0;open;open;"2021-03-31 18:44:17";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14185;"Herat Carpenter + Mason";;;"2021-03-31 18:44:17";company;https://www.masterhand.pro/company/herat-carpenter-mason/;;;;;;;;default;4.1;9970;"+1 206-543-8616";proz@masterhand.pro;1;19;23;10110;"89 Ghazar Parpetsi St; Kondoz;Afganistan";https://botanicgardens.uw.edu/washington-park-arboretum/gardens/pacific-connections-garden/;a:0:{};"Herat Carpenter + Mason";publish;4;admin_alex;am7667@gmail.com;;;herat-carpenter-mason;;default;0;0;0;open;open;"2021-03-31 18:44:17";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14186;"Cardone Custom Builders";;;"2021-03-31 18:44:17";company;https://www.masterhand.pro/company/cardone-custom-builders/;;;;;;;;default;4;9970;"+1 425-452-2750";prodq@masterhand.pro;1;19;23;10110;"5 Gyulbenkyan St; Lashkar Gah; Helmand; Afganistan";https://bellevuebotanical.org/;a:0:{};"Cardone Custom Builders";publish;4;admin_alex;am7667@gmail.com;;;cardone-custom-builders;;default;0;0;0;open;open;"2021-03-31 18:44:17";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14187;"Innovative Carpentry";;;"2021-03-31 18:44:17";company;https://www.masterhand.pro/company/innovative-carpentry/;;;;;;;;default;2.9;9970;"+1 206-463-0031";prodd@masterhand.pro;1;19;23;10110;"19 Ghazar Parpetsi St; Lashkar Gah; Helmand; Afganistan";http://mukaifarmandgarden.org/;a:0:{};"Innovative Carpentry";publish;4;admin_alex;am7667@gmail.com;;;innovative-carpentry;;default;0;0;0;open;open;"2021-03-31 18:44:17";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14188;"Kabul APPLE BOXES";;;"2021-03-31 18:44:17";company;https://www.masterhand.pro/company/kabul-apple-boxes/;;;;;;;;default;3.5;9970;"+1 425-455-8590";prok@masterhand.pro;1;19;23;10111;"33 Marshal Baghramyan Ave; Lashkar Gah; Helmand; Afganistan";https://www.maxcleanpnw.com/;a:0:{};"Kabul APPLE BOXES";publish;4;admin_alex;am7667@gmail.com;;;kabul-apple-boxes;;default;0;0;0;open;open;"2021-03-31 18:44:17";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14189;"Tico's Carpentry Co";;;"2021-03-31 18:44:17";company;https://www.masterhand.pro/company/ticos-carpentry-co/;;;;;;;;default;5;9970;"+1 425-776-0884";prox@masterhand.pro;1;19;23;10111;"37 Amiryan St; Kondoz; Afganistan";http://www.gutterking.com/;a:0:{};"Tico's Carpentry Co";publish;4;admin_alex;am7667@gmail.com;;;ticos-carpentry-co;;default;0;0;0;open;open;"2021-03-31 18:44:17";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14190;Jacobgreg;;;"2021-03-31 18:44:17";company;https://www.masterhand.pro/company/jacobgreg/;;;;;;;;default;3.2;9970;"+1 206-898-8408";projj@masterhand.pro;1;19;23;10111;"90 Ghazar Parpetsi St; Kondoz;Afganistan";https://amigogutters.com/;a:0:{};Jacobgreg;publish;4;admin_alex;am7667@gmail.com;;;jacobgreg;;default;0;0;0;open;open;"2021-03-31 18:44:17";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14191;"Peshawar Design and Construction";;;"2021-03-31 18:44:24";company;https://www.masterhand.pro/company/peshawar-design-and-construction/;;;;;;;;default;5;9970;"+1 206-898-8408";proz@masterhand.pro;1;19;23;10111;"6 Gyulbenkyan St; Lashkar Gah; Helmand; Afganistan";https://www.amigogutters.com/;a:0:{};"Peshawar Design and Construction";publish;4;admin_alex;am7667@gmail.com;;;peshawar-design-and-construction;;default;0;0;0;open;open;"2021-03-31 18:44:24";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14192;"Laiki Home Remodeling";;;"2021-03-31 18:44:24";company;https://www.masterhand.pro/company/laiki-home-remodeling/;;;;;;;;default;5;9970;"+1 425-449-6622";prodq@masterhand.pro;1;19;23;10111;"20 Ghazar Parpetsi St; Lashkar Gah; Helmand; Afganistan";https://www.highpointgutter.com/;a:0:{};"Laiki Home Remodeling";publish;4;admin_alex;am7667@gmail.com;;;laiki-home-remodeling;;default;0;0;0;open;open;"2021-03-31 18:44:24";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14193;"K & R Master Carpentry";;;"2021-03-31 18:44:24";company;https://www.masterhand.pro/company/k-r-master-carpentry/;;;;;;;;default;5;9970;"+1 206-629-6118";prodd@masterhand.pro;1;19;23;10111;"34 Marshal Baghramyan Ave; Lashkar Gah; Helmand; Afganistan";https://www.glassmasterswindowcleaning.com/;a:0:{};"K & R Master Carpentry";publish;4;admin_alex;am7667@gmail.com;;;k-r-master-carpentry;;default;0;0;0;open;open;"2021-03-31 18:44:24";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14194;"Sunny Woodwork; Inc.";;;"2021-03-31 18:44:24";company;https://www.masterhand.pro/company/sunny-woodwork-inc/;;;;;;;;default;5;9970;"+1 206-842-7575";prok@masterhand.pro;1;19;23;10111;"38 Amiryan St; Kondoz; Afganistan";https://www.kitsapgutters.com/;a:0:{};"Sunny Woodwork; Inc.";publish;4;admin_alex;am7667@gmail.com;;;sunny-woodwork-inc;;default;0;0;0;open;open;"2021-03-31 18:44:24";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14200;"Queens Auto Locksmith";;;"2021-03-31 19:25:00";company;https://www.masterhand.pro/company/queens-auto-locksmith/;;;;;;;;default;3.9;9959;"+1 347-774-3039";queensautolock@gmail.com;222;3946;10580;;"42-40 Bell Blvd #226; Bayside; NY 11361; United States";http://queensautolocksmith.com/;a:0:{};"Queens Auto Locksmith";publish;4;admin_alex;am7667@gmail.com;;;queens-auto-locksmith;;default;0;0;0;open;open;"2021-03-31 19:25:00";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14201;"EMT Locks - Auto Locksmith";;;"2021-03-31 19:25:00";company;https://www.masterhand.pro/company/emt-locks-auto-locksmith/;;;;;;;;default;5;9959;"+1 718-619-4147";emtlocksmith@gmail.com;222;3946;10580;;;https://www.emtlocksmith.com/;a:0:{};"EMT Locks - Auto Locksmith";publish;4;admin_alex;am7667@gmail.com;;;emt-locks-auto-locksmith;;default;0;0;0;open;open;"2021-03-31 19:25:00";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14202;"ABC Door Repair";;;"2021-03-31 19:25:00";company;https://www.masterhand.pro/company/abc-door-repair-2/;;;;;;;;default;4.5;9959;1-679-273-799;masterhand.pro@gmail.com;222;3946;10580;;"35 Portland street; New York; United States";;a:0:{};"ABC Door Repair";publish;4;admin_alex;am7667@gmail.com;;;abc-door-repair-2;;default;0;0;0;open;open;"2021-03-31 19:25:00";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
